Name,Name clean,GCAP ID,Website,LEI (if applicable),Country of HQ,UN Region,Parent company (if applicable),Annual Revenue in USD (if applicable),Type,Sector (if applicable),Assets Under Mgt. (if financial institution),Join Date (DD/MM/YYYY),Where did they publish in 2022?,Where did they publish in 2023?,Partner comment,Partner comment (Sep-24),Update round,Business Declares,Cities Race to Zero,Climate Action Accelerator,Exponential Roadmap Iniative,Fashion Industry Charter for Climate Action,Health Care without Harm,International Wineries for Climate Action (IWCA),Japan Climate Initiative (JCI),National Parks UK,Net Zero Asset Managers Initiative,Net Zero Banking Alliance,Net Zero Investment Consultants (NZIC),Net-Zero Asset Owner Alliance (NZAOA),Net-Zero Export Credit Agencies Alliance (NZECA),Paris Aligned Asset Owners (PAAO),Planet Mark,Pledge to Net Zero,Race to Zero for Universities and Colleges,SBTi,Scotch Whisky Association (SWA),SME Climate Hub,Sports for Climate Action Framework,Tech Zero,The Exchange Group - Net Zero Financial Services Providers Alliance Exchange Group (NZFSPA),Under 2 Coalition,Venture Climate Alliance (VCA),Partners
Making Places Together,making places together,GCAP31444,,13128921,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,05/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Rupert Trusler Business Event Design,rupert trusler event design,GCAP31470,http://www.ruperttrusler.com,7354233,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,05/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Sampling International,sampling,GCAP31494,http://www.samplingint.co.uk,123771000,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing,,05/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
CTI,cti,GCAP31260,http://co2ti.com,,Australia,Western European and Others Group (WEOG),,,SME,Services,,04/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Uniquely Local Experiences Ltd,uniquely experiences,GCAP31453,https://uniquelylocal.co.uk/,13432837,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,04/04/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Hatton Farm,hatton farm,GCAP31438,,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,02/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
JustaTest Marketing,justatest marketing,GCAP31243,,,China,Asia-Pacific Group,,,SME,Manufacturing,,01/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
AirNode,airnode,GCAP31332,http://www.airnode.co.uk,SC563183,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,01/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Harper Safety Risk Management Ltd,harper safety risk management,GCAP31353,http://www.hsrm.co.uk,883996250,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,01/04/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Perma Collective,perma collective,,https://perma-collective.com/,12500753,United Kingdom,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,01/04/2022,SME Climate Hub,Other,,,Apr-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
You'll Know When You Get There,you'll know when get there,GCAP31398,http://www.youllknowwhenyougetthere.co.uk,11697492,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,01/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
MCD Group,mcd,GCAP31513,https://mcdgroupltd.co.uk,2579793,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,01/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
The Adirelounge,adirelounge,,http://www.adirelounge.com,,Nigeria,African Group,,,SME,Retail,,31/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Computask Ltd,computask,GCAP31266,http://computask.co.uk,7054336,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/03/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Crannis Technology Services LTD,crannis technology services,GCAP31273,http://www.crannistech.co.uk/%20Facebook/%20Twitter/%20LinkedIn,7592739,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,31/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
BARNWELL PRINT LTD,barnwell print,GCAP31280,https://barnwellprint.co.uk/,3884266,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Hospital Road Consultancy Ltd,hospital road consultancy,GCAP31305,,NI686314,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Simba Sleep,simba sleep,GCAP31310,http://simbasleep.com,GB 230194343,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,31/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Taste Creative,taste creative,GCAP31329,http://www.taste-creative.co.uk,11403905,United Kingdom,Western European and Others Group (WEOG),,,SME,Hospitality,,31/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Sussex Community Dermatology Service Ltd,sussex dermatology,,http://www.sussexcds.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
G&S Invest,g&s invest,,,40336907,Denmark,Western European and Others Group (WEOG),,,SME,Services,,31/03/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
J&S Subsea ltd,j&s subsea,,https://jands.co.uk/,342756785,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Precision Marketing Group,precision marketing,GCAP31432,http://precision.co.uk,Precision Marketing Group,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Newton Running Company,newton running,GCAP31523,http://newtonrunning.com,,United States of America,Western European and Others Group (WEOG),,,SME,Apparel,,31/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Gripvan (London) Ltd,gripvan london,GCAP31229,http://www.gripvan.com,8268813,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,30/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Travel Places,travel places,GCAP31255,http://www.travelplaces.co.uk,1889481,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,30/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Agilia Infrastructure Partners,agilia infrastructure partners,GCAP31257,http://www.agilia.co.uk,9641170,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,30/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Urmston Physio Clinic,urmston physio clinic,GCAP31269,http://www.urmstonphysioclinic.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,30/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Bennett Freehill,bennett freehill,GCAP31289,http://www.bennettfreehill.com,NC001638,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,30/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Boutique Brands ltd,boutique brands,GCAP31295,http://www.boutique-brands.com,867500217,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,30/03/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Micro-tech,micro-tech,GCAP31326,,GB391424104,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,30/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
EDSB Ltd,edsb,GCAP31412,http://www.edsb.co.uk,941051359,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,30/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
DMsqd Limited,dmsqd,GCAP31416,http://www.dmsqd.co.uk,378333373,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,30/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Aichmi Group,aichmi,,http://www.aichmigroup.com,,Malaysia,Asia-Pacific Group,,,SME,Services,,30/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Innovation Scout Ltd,innovation scout,GCAP31431,http://@theiscout,6761441,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,30/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Green Tomato (Midlands) Ltd,green tomato midlands,GCAP31435,http://www.greentomato.club%20@greentomatouk,12677058,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,30/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Levett Consultancy Ltd,levett consultancy,GCAP31443,https://levettconsultancy.co.uk,6791604,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,30/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
"Roboterwise,SL",roboterwise sl,GCAP31466,https://www.amazon.es/hanngor,B67292250,Spain,Western European and Others Group (WEOG),,,SME,Manufacturing,,30/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Craq Design Studio,craq design studio,GCAP31467,http://craqdesignstudio.it,3641291202,Italy,Western European and Others Group (WEOG),,,SME,Services,,30/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
WALNUT TREE DISTILLERY LTD,walnut tree distillery,GCAP31330,http://www.walnuttreedistillery.co.uk,11549522,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,29/03/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Pal Intenational Ltd,pal intenational,GCAP31366,http://www.palinternational.com,3272370,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,29/03/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Spadework,spadework,GCAP31533,http://www.spadework.org.uk,291198,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,29/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Michelle McCance,michelle mccance,GCAP31521,http://Michellemccance.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,29/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
CAMA AssetStore,cama assetstore,GCAP31526,http://www.cama.co.uk,398 8534 24,United Kingdom,Western European and Others Group (WEOG),,,SME,Transportation services,,29/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Grommets Ltd,grommets,GCAP31415,http://www.grommets.co.uk,Grommets Ltd,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing,,28/03/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Naked kimchi & co,naked kimchi,,http://Www.linedtree.com/NakedKimchi.co,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,28/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
LPM Academy,lpm academy,GCAP31437,https://www.lpm.sogln.de/,8810216,Germany,Western European and Others Group (WEOG),,,SME,Services,,28/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Green Swan Technologies,green swan technologies,GCAP31512,http://gst.co,,United States of America,Western European and Others Group (WEOG),,,SME,Transportation services,,28/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Kafab Förpackning AB,kafab forpackning,,http://www.kafab.se,SE556458305101,Sweden,Western European and Others Group (WEOG),,,SME,Manufacturing,,28/03/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
INOVUES,inovues,GCAP31241,https://www.inovues.com/,,United States of America,Western European and Others Group (WEOG),,,SME,Other,,27/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Greener,greener,GCAP22333,http://www.getgreener.com,70644562014,Australia,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,27/03/2022,,Did not - support needed,,,Oct-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Open cognition,open cognition,GCAP31457,,,Algeria,African Group,,,SME,Other,,27/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Lawn Tiger Ltd,lawn tiger,GCAP31471,http://www.lawntiger.co.uk,342343231,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,27/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
The Trampery,trampery,GCAP30897,http://www.thetrampery.com,GB 248252794,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,26/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
hold.earth,hold.earth,GCAP31235,http://hold.earth,305981204,Lithuania,Eastern European Group,,,SME,"Food, beverage & agriculture",,25/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Amaro Signalling,amaro signalling,GCAP31307,,107 107 161,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,25/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
The Tayvallich Inn,tayvallich inn,,http://Www.Tayvallich%20inn.com,259576746,United Kingdom,Western European and Others Group (WEOG),,,SME,Hospitality,,25/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Inhabit,inhabit,GCAP23614,https://inhabit.eco/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,25/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
EPL Midlands Ltd,epl midlands,GCAP31502,http://www.eplmidlands.co.uk,1979978,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,25/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
CPB London,cpb london,GCAP31238,http://@cpb_ldn,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,24/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Peak Governance Business Advisors Ltd,peak governance advisors,GCAP31261,http://www.peakgovernance.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,24/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Nicholas Hare Architects,nicholas hare architects,GCAP31293,http://www.nicholashare.co.uk,OC306306,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,24/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
It's Clean Limited,it's clean,GCAP31298,http://www.itsclean.co.uk,937103241,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,24/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Minderoo Foundation,minderoo,GCAP31529,https://www.minderoo.org/,,Australia,Western European and Others Group (WEOG),,,SME,Other,,24/03/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
The Counselling Foundation,counselling,GCAP31530,http://www.counsellingfoundation.org,2713806,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,24/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
AssetLab,assetlab,GCAP31369,https://assetlab.us,,United States of America,Western European and Others Group (WEOG),,,SME,Services,,24/03/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Fileder Filter Systems Ltd,fileder filter systems,,http://Fileder%20Filter%20Systems%20Ltd,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,24/03/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Blueprint Project Solutions,blueprint project solutions,GCAP31389,,Blueprint Project Solutions,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,24/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
MAHAC Pty Ltd t/a Empire Carbon & Energy,mahac t/a empire carbon energy,,http://www.empirecae.com,19636065775,Australia,Western European and Others Group (WEOG),,,SME,Services,,24/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
MagiClick UK Ltd,magiclick,GCAP31426,http://magiclick.com,928966560,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,24/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
OFFICELORD CONSULTING SERVICES,officelord consulting services,GCAP31436,http://www.officelordconsulting.com,BN2953110,Nigeria,African Group,,,SME,Services,,24/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
AEG Power Solutions Ltd,aeg solutions,GCAP31478,http://www.aegps.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,24/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Barnard Castle School,barnard castle school,GCAP31479,https://www.barnardcastleschool.org.uk/,6596258,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,24/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
AquaKidz,aquakidz,GCAP31504,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,24/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Emerald Goddess Locks,emerald goddess locks,GCAP31232,http://Www.emeraldgoddesslocks.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,23/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
PECT,pect,GCAP31528,http://www.pect.org.uk,PECT,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,23/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Sychem Ltd,sychem,GCAP31423,http://www.sychem.co.uk,GB 816127249,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,23/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
PT Telaga Pitu International,telaga pitu,GCAP31463,http://www.telagapitu.com,220005712227,Indonesia,Asia-Pacific Group,,,SME,Infrastructure,,23/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Useful Projects,useful projects,GCAP31277,https://www.usefulsimple.co.uk/%20https://www.linkedin.com/company/11796,927487972,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,22/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Eat Your Greens Leeds,eat your greens leeds,GCAP31344,https://eatyourgreensleeds.co.uk/,11180871,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,22/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Market Ethically Ltd,market ethically,GCAP31346,https://marketethically.co.uk/,SC701007,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,22/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Augeo Consulting Ltd,augeo consulting,GCAP31356,http://www.augeo-consulting.com,11293360,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,22/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Intsilo Limited,intsilo,GCAP19713,http://www.intsilo.com,12864361,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,22/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Bulle de bois,bulle bois,GCAP31391,,,France,Western European and Others Group (WEOG),,,SME,Manufacturing,,22/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Wood's Homecare,wood's homecare,GCAP31527,http://Woodshomecare.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,22/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Leggett & Platt UK Ltd,leggett platt,,,gb298784281,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing,,21/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Foodsteps Ltd,foodsteps,GCAP31245,http://www.foodsteps.earth,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,21/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
AVIE,avie,GCAP31357,http://avie-studio.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,21/03/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
